id,title,description,categories,tags,image,price,weight,pieces,label,my_order,created_at,updated_at
175,Прошутто 32 см,"Тісто, соус, моцарелла, прошутто крудо, помідорки чері, рукола, пармезан.",7,,прошуто_рукола_черы.jpg,145.0,550,8,2,93,2018-05-26 13:15:26,2018-10-23 22:39:17
187,Карбонара 32 см,"Тісто, вершково-яєчний соус, бекон, шампіньйони, пармезан.",7,,450-01.jpg,119.0,500,8,2,94,2018-07-21 11:22:14,2018-10-23 22:38:30
86,Грибна 32 см,"Тісто, соус, моцарелла, шампіньйони, опеньки, оливки, маслини, цибуля кримська,  трави.",7,,грибна.jpg,115.0,550,8,,95,2018-04-09 06:52:31,2018-10-23 22:37:16
88,Італьяні 32 см,"Тісто, соус, моцарелла, помідор, шинка, курка, бекон, салямі, перець болгарський, шампіньйони, трави.",7,,італьяні.jpg,135.0,600,8,,96,2018-04-09 07:12:29,2018-10-23 22:37:36
89,Селянська 32 см,"Тісто, соус, моцарелла, сялямі, картопля фрі, помідорки черрі, цибуля зелена, трави.",7,,селянська.jpg,119.0,500,8,,97,2018-04-09 07:31:01,2018-08-16 15:03:11
90,Салямі 32 см,"Тісто, соус, моцарелла, салямі, цибуля зелена, трави.",7,,салямі.jpg,125.0,500,8,,98,2018-04-09 07:35:49,2018-10-23 22:36:03
91,Капрічоза 32 см,"Тісто, соус, моцарелла, шинка, помідор, шампіньйони, трави.",7,,капричоза.jpg,119.0,550,8,,99,2018-04-09 07:38:32,2018-10-23 22:37:54
93,Мисо суп з лососем,"Лосось , сир тофу, водорослі вакаме.",5,1,Мисо_суп_з_лососем.jpg,80.0,300,0,,100,2018-04-09 08:19:30,2018-06-06 20:38:28
94,Мисо суп,"Сир тофу, водорослі вакаме, цибуля порей",5,8,Мисо_суп.jpg,65.0,300,0,,101,2018-04-09 18:48:45,2018-06-06 20:38:28
95,Мисо суп з креветками,"Креветки, сир тофу, водорослі вакаме, цибуля порей.",5,3,Мисо_суп_з_криветками.jpg,75.0,300,0,,102,2018-04-09 18:50:53,2018-06-06 20:38:28
96,Мисо суп з вугрем,"Вугор, кунжут, водорослі вакаме, сир тофу, цибуля порей.",5,2,Мисо_суп_з_вугрем.jpg,85.0,300,0,,103,2018-04-09 18:52:16,2018-06-06 20:38:28
97,Боржомі,Мінеральна вода вулканічного походження.,10,,боржомі_lwOrgNA.jpg,35.0,500,1,,104,2018-04-09 19:02:33,2018-06-06 20:38:28
98,Квінта Філона 32 см,"Тісто, соус, моцарелла, помідор, бекон, курка, оливки, трави.",7,,квінта_філона.jpg,119.0,550,8,,105,2018-04-10 19:33:59,2018-10-23 22:36:58
99,З лососем 32 см,"Тісто, моцарелла, вершки, лосось копчений, маслини, лимон, трави.",7,1,аль_сальмоне-01.jpg,179.0,500,8,,106,2018-04-10 19:40:40,2018-08-16 15:04:38
100,Фруті Де  Маре 32 см,"Тісто, соус, моцарелла, морський коктейль, помідорки черрі, лимон, трави.",7,,фруті_де_маре.jpg,139.0,550,8,,107,2018-04-10 19:43:04,2018-08-16 15:04:04
101,Марінара 32 см,"Тісто, соус, моцарелла, шампіньйони, курка, помідор, пармезан, трави.",7,,марінара.jpg,119.0,550,8,,108,2018-04-10 19:45:05,2018-10-23 23:36:59
102,З Шинкою та беконом 32 см,"Тісто, соус, моцарелла, бекон, шинка, цибуля кримська, трави.",7,,з_шинкою_та_беконом.jpg,119.0,500,8,,109,2018-04-10 19:49:14,2018-10-23 23:38:36
103,З   тунцем 32 см,"Тісто, моцарелла, тунець, корнішони, вершки, цибуля кримська, лимон, трави.",7,4,з_тунцем.jpg,179.0,520,8,,110,2018-04-10 19:51:43,2018-06-10 13:23:46
104,Неаполітана 32 см,"Тісто, соус, моцарелла, ковбаски баварські, салямі, помідор, оливки, трави.",7,,неаполітана.jpg,119.0,550,8,,111,2018-04-10 19:58:33,2018-08-16 15:08:39
105,Дитяча 32 см,"Тісто, соус, моцарелла, кукурудза, курка, помідор.",7,,дитяча.jpg,115.0,550,8,,112,2018-04-10 20:03:05,2018-10-23 23:32:43
106,Диявола 32 см,"Тісто, соус, моцарелла, чорізо, перець чілі, трави.",7,,диявола.jpg,119.0,500,8,1,113,2018-04-10 20:05:24,2018-08-16 15:12:16
