id,product,count
299,6,1
300,88,1
301,82,1
302,21,1
303,153,1
304,100,1
305,14,1
306,108,1
307,18,1
308,40,1
309,114,1
310,147,1
311,148,1
312,125,1
313,20,1
314,21,1
317,61,1
318,60,1
319,154,1
320,41,1
321,4,1
322,153,2
323,30,2
324,4,1
325,20,1
326,21,1
329,61,1
330,60,1
331,154,1
332,41,1
334,118,1
335,21,1
336,24,1
337,150,1
338,152,1
339,4,1
340,21,1
341,40,1
342,119,1
343,128,1
344,88,1
345,4,2
346,4,2
347,156,1
348,27,1
349,72,1
350,88,1
351,5,1
352,9,1
353,15,1
354,5,1
355,9,1
356,15,1
357,119,1
358,119,1
359,132,1
360,119,1
361,13,1
363,88,1
364,135,1
365,157,1
366,21,1
367,154,1
368,149,1
370,105,1
371,118,1
372,108,1
373,79,1
374,131,1
375,21,1
376,32,1
377,82,1
378,3,1
379,40,1
380,29,1
381,3,1
382,3,1
383,89,1
384,119,1
385,81,1
386,91,1
387,136,1
388,118,1
389,5,1
390,153,1
391,14,1
392,71,1
393,88,1
394,7,1
396,5,1
397,6,1
398,7,1
399,108,1
400,111,1
402,83,1
404,136,3
405,131,1
406,119,1
407,101,1
409,5,1
410,21,1
412,149,1
413,118,1
414,108,1
415,153,1
416,20,1
417,74,1
418,81,1
419,91,1
420,25,1
421,40,1
423,72,1
424,72,1
425,153,1
426,5,1
427,8,1
428,88,1
429,60,1
430,61,1
431,21,1
433,118,1
434,21,1
435,21,1
436,152,1
437,159,1
438,80,1
440,136,1
441,28,1
442,108,1
443,136,2
444,28,1
445,132,1
446,109,1
447,118,1
448,18,1
449,14,1
450,22,1
451,24,1
452,82,1
453,80,1
454,118,1
455,149,1
456,152,1
457,101,1
458,80,1
459,83,1
460,120,1
461,95,1
462,83,1
464,129,1
465,60,2
466,157,1
467,20,1
468,88,1
469,90,1
470,124,1
471,162,2
472,118,1
473,28,1
474,21,1
475,88,1
476,138,1
477,136,1
478,81,1
479,23,1
480,149,1
481,150,1
482,88,1
483,91,1
484,88,1
485,118,1
486,71,1
487,19,1
488,40,1
489,43,1
490,163,1
491,160,1
492,161,1
493,101,1
494,61,2
495,157,1
496,88,1
497,105,1
498,124,1
499,118,1
500,118,1
501,158,1
502,20,1
503,72,1
504,44,1
505,108,1
506,119,1
507,136,2
508,149,1
509,20,1
510,118,1
511,120,1
512,149,1
513,107,1
514,118,1
515,72,1
516,157,1
517,40,1
518,82,1
519,22,1
520,128,1
521,60,1
522,149,1
523,80,1
524,134,1
525,89,1
526,79,1
527,91,1
528,83,1
529,80,1
530,83,1
531,72,1
532,169,1
533,64,1
534,22,1
535,21,1
536,20,1
537,118,1
538,3,1
539,4,1
540,34,1
541,72,1
542,153,1
544,81,1
545,79,1
546,82,1
547,131,1
548,98,1
549,91,1
550,119,1
551,149,1
552,149,1
553,60,1
554,56,2
555,169,1
556,59,1
557,20,1
558,119,1
559,116,1
